transaction_id,user_id,card_number,transaction_date,amount,merchant_name,location,merchant_category,is_fraud
8d10350d-fa76-4596-9824-774e37564e8e,d3ddeebd-5188-4b24-b4a3-795861644bac,3540109784431215,2024-09-10 17:59:26,4626.68,High-End Electronics,Markville,high_risk,0
e1a7dc93-e347-49e7-aa19-aeb369c24eda,a8977560-8f86-4614-a7f2-76c62b44cc18,3599681113676934,2024-09-10 18:35:45,61.07,Chevron,East Kimberly,gas,0
cec510ce-a9fb-4d22-8631-5528339e1dbf,b81fb1d4-ce9b-4d52-8a45-8679c36b928b,3555961320530088,2024-09-10 19:14:29,48.44,Trader Joe's,Walshside,grocery,0
4b489806-2862-4925-9860-70ae16a6f868,2f488aac-5e24-4eaf-b9b3-6f4d8337f07a,370892020416915,2024-09-10 19:23:06,33.82,Target,South Charles,retail,0
0025d31f-0d81-4470-8f63-350dd95942db,6e55c172-924a-4092-854c-128b0e4c4da6,4546017598986054,2024-09-10 19:30:10,118.68,Whole Foods,Lake Marissa,grocery,0
4829c549-dd5c-45f8-9efa-5d93031f71a6,70ad7ee6-0036-4785-ac2c-ff47ce949393,3532889384035736,2024-09-10 20:01:00,96.31,Trader Joe's,North Ian,grocery,0
eee133f4-1ef2-44b5-bd7b-6ad780d73ff7,21b6d283-0be8-4765-a955-94bbb2839836,213178858472605,2024-09-10 20:08:27,148.6,Trader Joe's,Lake Alexandra,grocery,0
c438dc31-d1b5-46d7-95b8-f3eea085638f,3065db9d-c69e-41d6-ac44-a1402faeb300,6536980466880039,2024-09-10 20:24:06,89.92,Whole Foods,Port Haley,grocery,0
7572f818-3fe8-4dd7-8651-8ae18c3afecb,d0f4e47d-c6ee-4115-a65b-89da989641ba,2709530015738319,2024-09-10 20:28:25,273.84,Walmart,Port Susanberg,retail,0
8727e0f3-b86e-41fd-990b-5e814dc1dad0,085a79cc-4c30-4fbd-948e-52646d2b55ff,4758451184708,2024-09-10 21:47:58,39.09,Exxon,Port Tyler,gas,0
05023efb-08d3-4600-a97d-eba9705f7800,6d326ed8-371d-4b15-a19f-6eeef58581e2,4064619428816062572,2024-09-10 22:54:20,43.88,AMC Theatres,Cannonmouth,entertainment,0
784159cb-7181-429b-b45b-5b6a88bddef4,65eb7a0c-277d-4828-a446-c0f22c76b210,4934212597277834516,2024-09-11 00:13:34,139.1,Trader Joe's,Port Marcusville,grocery,0
c450cb0f-e07e-44de-b3f2-17081b067059,71881e0a-fb59-4d97-83e6-e04183e4ea09,2713543070868776,2024-09-11 04:04:54,29.47,Spotify,Alyssaton,entertainment,0
b3db5092-5784-43b8-8d15-a8efc10226aa,bb89ccf8-9f43-47a2-bafc-d80c2d4b5fc3,345635715944549,2024-09-11 04:24:44,30.42,Trader Joe's,Tomside,grocery,0
e37aaa56-ca0e-4585-8d06-bbdf43f0f7aa,105f2f92-a4e7-4320-888b-eed041e0c95b,3579311785514577,2024-09-11 04:59:24,67.61,Whole Foods,New Jason,grocery,0
ab8193b6-3c8b-4b28-9ef7-cc119f69587e,4efe1738-305f-4a58-baf4-e54aa0aad205,4265394155498,2024-09-11 06:09:51,36.45,Exxon,Westchester,gas,0
97441f2a-d0b1-4c51-8b70-7e4cf4fa2f89,6ecd59ae-5a2a-4bdc-93b3-2f6009497575,6011473348207229,2024-09-11 08:01:35,47.61,Shell,Gillshire,gas,0
977fe96b-c758-43b6-98aa-faa6db80d70f,f8b71de2-5d6d-405e-9014-c2c268077966,4028506183489,2024-09-11 08:04:13,37.32,Spotify,Port Amy,entertainment,0
60d8cdf4-5d9d-4569-9449-93af862e2f59,81b28e5d-c0dd-44fc-94e7-1b73e3abbb26,6572741700524634,2024-09-11 08:59:10,33.83,Kroger,North Nathaniel,grocery,0
ebbe90b0-b394-4982-b837-2c7e80f9ec8a,754808fa-899d-4a0d-a81b-8fe526f61b93,3554846840105977,2024-09-11 09:00:06,138.59,Kroger,Heidishire,grocery,0
c6b29588-b61f-4302-9b84-502884c13dea,d9b753be-b32f-4678-ad0d-d74af27dc712,3536510316810204,2024-09-11 09:29:42,55.77,Exxon,West Misty,gas,0
c3755dd7-3cf6-4b5c-be42-7e672e8aaa7c,ae9c298d-9c1e-4efa-8a63-ee9a404378ae,630418022509,2024-09-11 11:14:44,113.11,Trader Joe's,East Loretta,grocery,0
c14bf76e-44f0-4246-b703-94a4b5c3642f,a7d9064a-54dd-4b5e-9b42-638b07fa6cd5,3570851820473858,2024-09-11 11:33:30,13.91,AMC Theatres,East Charlesport,entertainment,0
47e6af9b-4213-4a8e-b4d3-b6c0081a1aeb,77d84af8-21de-4e68-ad85-d35aca027f14,30066268251670,2024-09-11 11:49:05,50.57,Chevron,Josephton,gas,0
c1ac1b4f-a0fb-4cbe-bb07-5dc7fe844d24,50f985e2-268c-40e5-ab00-53fe855dd4d9,213129011831153,2024-09-11 12:18:19,68.69,Exxon,Ortegaport,gas,0
3faa9400-b399-4884-be75-1cd907b536c4,a28d246d-e2e4-492e-820a-f89359acc46d,4602912218657,2024-09-11 12:24:13,41.6,Kroger,New Becky,grocery,0
d014bb5e-3a57-42d0-972f-7742c148721a,6c686d1c-265f-4483-8955-306d2a504494,4153230462586635556,2024-09-11 13:58:38,1197.0,Online Gambling Site,East William,high_risk,0
58be6b57-8f13-498c-b24d-b7b90381ac5a,be7d2ca0-ccf1-45e3-8c5e-47ac608793a4,4147411246315715265,2024-09-11 14:02:33,30.72,AMC Theatres,Lake Glenborough,entertainment,0
3bc43c62-c233-4653-9816-d83d0d98386e,5008ccae-fb6a-454e-91fa-be0a75b5eb00,4966191078029353,2024-09-11 14:17:00,31.0,Chevron,West Matthewchester,gas,0
9e5e433c-3732-429b-b2f3-84b5bdaa5b91,93868c80-da33-4161-8f7e-777a65fff0c8,342447425853256,2024-09-11 14:39:29,67.19,Trader Joe's,West Stacyfurt,grocery,0
269dc299-e42c-4588-8e76-c6d4aeb61328,60e4cf2f-a6b1-4f36-addb-431c8fc68802,4607459265935087,2024-09-11 15:12:16,35.11,Chevron,West Anthony,gas,0
610dbdd5-ec49-4e38-b751-cdf6df38399e,c0ceae34-750a-4da3-94d3-05808d2777eb,375077280465316,2024-09-11 15:49:40,1310.45,Uber,Port Paul,travel,0
8b11b392-8e24-458e-bbf7-4ed92143165d,2df1d836-40df-40b7-b857-6db8882ee497,2248111950734601,2024-09-11 17:04:59,47.55,Shell,Steventon,gas,0
cc88b0c9-79c7-414d-872a-5247e41b2a00,41a4bc24-299c-4fd6-8390-76f50695f0d5,3502494585547922,2024-09-11 18:17:58,116.12,Amazon,Brianberg,retail,0
6b983741-2c61-4a29-b23f-6b74b78a9630,ef4064a9-8b91-45e8-a31b-112d5b3a61aa,213151327285858,2024-09-11 20:30:02,27.72,Trader Joe's,Port Michaelstad,grocery,0
c33e833e-2908-44a9-bc01-056ed787becc,f7935e46-eadd-43f1-96f2-8a45216f106f,4550261003303173,2024-09-11 20:38:17,365.54,Delta Airlines,North Danielton,travel,0
66790a4c-ec81-4760-9e86-fe24f15648d3,d082e3cb-b734-4948-a5dc-49e28f0eea29,4073902164297344,2024-09-11 20:42:06,146.47,Amazon,Shelleychester,retail,0
4fc4b5b8-32b2-47db-9eb6-eaf6db48fc50,f0ff0af3-7d54-4209-9fbc-dfb2c7b8ab67,639093916281,2024-09-11 21:55:50,12.96,Target,Robinsonport,retail,0
9a13abe7-6e52-4d02-b403-ba30d9505ee3,c4a1a58e-d324-4926-9d36-fcdd77d8cc05,4805549929482732340,2024-09-11 22:12:34,21.36,Trader Joe's,Port Stephen,grocery,0
a220e004-442e-4dfe-91f1-4688007f68fc,ae970703-bcd9-417b-8c92-61284e73a762,3543706989875430,2024-09-11 22:23:06,845.85,Uber,West Mark,travel,0
90c120f9-1664-4e57-9877-56ea5b419b9e,bb97f57a-8d44-410c-b4d4-cb06bf729333,4666557896763683,2024-09-11 23:00:14,278.41,Target,Karinaview,retail,0
f22aa5a5-a187-49f7-b178-f109541f8734,af652f5a-fb97-485c-aeb0-0bf0830d57f8,6550163010667811,2024-09-11 23:20:22,220.61,Target,Adamsshire,retail,0
21cd97a7-d566-4218-918d-1a1186720bca,1792fcb9-73b0-4566-a1e8-3e5615eb1ca4,344721400176414,2024-09-12 01:34:48,125.55,Whole Foods,Shermanstad,grocery,0
ef11b57b-dfc5-4e21-81d1-fe4b93ed58b3,6c686d1c-265f-4483-8955-306d2a504494,4153230462586635556,2024-09-12 02:03:00,506.02,High-End Electronics,East William,high_risk,0
32f65dee-1bb7-4b01-8034-c580a8f40dd9,8c1799d6-5166-40f3-9064-fd5ef11c1ed1,2259598553594067,2024-09-12 03:02:51,33.57,Amazon,North Anita,retail,0
8b38ff80-660f-49a5-b1ae-6bd7383f7873,6b3c33e9-97f8-40c4-b42e-7baa6a73c7ce,4279385820424,2024-09-12 03:29:04,138.22,Amazon,North Brandonstad,retail,0
14fa6fa9-c9b0-49c5-8ded-304d12345822,e6362f08-b5f8-41b4-a22a-0acbc2b5f789,4731696756980721171,2024-09-12 03:34:25,39.48,Trader Joe's,New Brittanychester,grocery,0
0dd202f5-e508-4670-af5a-c7202b69c881,abbbe35a-93ca-4df4-84f0-ff642fb6e17b,4826587502684194,2024-09-12 04:49:45,122.96,Trader Joe's,Bonniemouth,grocery,0
60e29f5e-e403-47ae-b934-8bbfe166d1dc,5fd40c06-bfa3-45a5-b65c-911d554f95f2,30379307057655,2024-09-12 05:00:59,66.42,Amazon,West James,retail,1
5d8cfd94-950e-4b0e-a443-d0d289c58fa9,cc9ffc3a-540b-401f-84ad-398c6fc7a8ef,3536612651036575,2024-09-12 05:57:09,52.28,Chevron,Port Susan,gas,0
38e49b97-ee0b-4550-ab5c-2e422d7fc565,702a96b0-a8d9-4941-8fa8-4aab5cd54b58,4596623364166,2024-09-12 05:57:59,82.01,Kroger,Keithland,grocery,0
8c430aab-243d-4ebc-902f-b429f8892fca,6c5a13f9-6a0e-46f6-9af7-febde485f8b8,3547132567991554,2024-09-12 06:15:44,3250.76,Online Gambling Site,Humphreytown,high_risk,0
34c7b578-8eff-4073-9a02-a7b8976a0028,a161e66d-962a-4c0f-bf7e-1bc38fe467ce,343390766945001,2024-09-12 07:08:42,290.3,Target,Smithside,retail,0
ab45d1fa-638c-4f30-ad28-b580f85f4d3e,284d1844-51e9-45d6-bbb0-f26bad8434b4,213162245772984,2024-09-12 08:49:55,141.85,Kroger,Patrickstad,grocery,0
a9f8d19d-1147-4975-bbfd-67360aa3634d,53e7561e-e783-49e6-967d-b5bd91710b64,30371669546888,2024-09-12 08:58:11,179.91,Amazon,Lake Scott,retail,0
d97425f8-d13c-4e5a-b0d8-d2affaebe645,c4a1a58e-d324-4926-9d36-fcdd77d8cc05,4805549929482732340,2024-09-12 09:00:19,76.09,Target,Port Stephen,retail,0
ddf6cbb2-75b5-4328-822f-7eabaeae6062,37947bd5-122f-4ffb-b21e-f6e9d70b8901,4405087242176089,2024-09-12 11:05:15,90.84,Whole Foods,Dustintown,grocery,0
0131abf1-23db-4b14-a9ce-dc75ebf66b3c,32170cbd-2db4-48ba-b3d1-e3734a52dfa2,4693487087422028032,2024-09-12 11:14:00,235.36,Walmart,Kathrynhaven,retail,0
ba3cdbc8-9efb-4d25-b553-79b98bd2e95c,a0fa66b6-2f17-4790-9558-1a340e376294,3596421878172156,2024-09-12 12:21:29,146.23,Target,West Mariah,retail,0
27ee3b76-242f-485d-9354-ba0f667d981a,797c91d4-2268-4fdb-ab9d-2bf0d7bb5f16,3519557145327661,2024-09-12 13:39:23,50.35,Shell,North Kristen,gas,0
8cca162f-82de-43db-ace7-b9b55af60678,ee6e2945-6e84-49ca-9948-218195c78c4c,4711429800601630670,2024-09-12 14:08:42,3365.96,International Money Transfer,Medinaland,high_risk,0
b729ddb7-1861-4852-b6b7-881b5431e08d,f3cf0e88-425b-400a-98ce-3e232e4bee41,377464350281104,2024-09-12 16:18:58,288.66,Amazon,West Stevenmouth,retail,0
f2618a2a-9429-4d34-9499-9e71ca5bf834,afaf71d5-12d0-491e-b1a3-47ba4f05e5e4,30232575422913,2024-09-12 18:14:21,149.69,Kroger,Castillomouth,grocery,0
6901a600-f4f0-4f47-a98c-3dc4f307fabe,38a708f9-9562-4dcb-88bf-ce340c0bfd5d,346100696223172,2024-09-12 19:50:15,58.93,Whole Foods,West Kenneth,grocery,0
043d51aa-4945-447d-8b02-67b333e3a166,7757c439-2bbc-4d4c-bef7-8e5852a5db78,2548668781152656,2024-09-12 21:14:37,27.84,Kroger,Dakotaport,grocery,0
c87f6c4d-77ad-47d6-b920-788d0be68bfd,b4d4f964-645f-4c74-8e0f-7460fbee10d6,213120312759565,2024-09-12 21:36:56,2618.55,High-End Electronics,Darinville,high_risk,0
be7bb8a0-e55a-4de1-b94f-18dd643fd551,2a44d08f-fe78-4835-8d8a-e72d01920c2c,377165198415040,2024-09-12 23:22:57,115.75,Trader Joe's,South Michaelmouth,grocery,0
540e1a53-d1d9-4458-b4ee-e4e6251be7a1,85970f91-7098-456c-b8af-e7c08aea11a0,2256826373140362,2024-09-13 00:53:45,105.9,Whole Foods,Laurenside,grocery,0
